Symbol,Open,High,Low,Close,Volume,% Change
JCP,1.47,1.63,1.46,1.52,63279200,22.58
MNST,63.22,66.38,63.22,63.83,10394900,8.67
BID,42.9,44.96,41.5,43.87,1589700,7.39
ENDP,11.11,12.49,10.62,10.99,7496000,6.29
GCI,11.34,11.8,11.17,11.74,3473800,3.99
ZIXI,8.75,9.07,8.7,9.03,730900,3.67
ACOR,14.25,14.82,13.85,14.74,1194700,3.44
FXP,60.25,60.86,60.12,60.7,131200,1.47
ICE,76.27,77.47,76.27,77.15,3985800,1.23
DAR,21.75,22.62,21.52,21.98,1825700,1.06
HRL,42.9,43.56,42.9,43.36,2618300,1.05
WM,100.29,101.35,100.21,101.25,2129200,1.01
SGEN,73.39,74.71,71.99,74.28,711736,0.97
PSA,209.51,213.05,208.65,211.49,1813937,0.9
CREE,53.84,54.81,53.75,54.41,1154300,0.83
RGA,143.36,145.12,143.01,144.49,391467,0.64
DXD,28.28,28.45,28.16,28.4,661600,0.57
RBA,37.37,37.9,37.04,37.5,711528,0.35
RWM,39.87,40.06,39.79,39.95,318332,0.3
DOG,54.96,55.15,54.87,55.1,432800,0.27
CQP,44.0,45.27,43.65,44.33,947000,0.25
NI,26.94,27.23,26.87,26.98,3304900,0.15
CNC,62.15,62.79,59.93,60.89,5126500,-1.62
